CashReserveRatio,CashDepositRatio,ReverseRepoRate,MarginalFacilityRate,BankRate,TermDepositRate,SavingsDepositRate,CallMoneyRate,TreasuryBill,Inflation,RepoRate,BaseRate
4,0,6,7,7,7,4,6.43,6.63,4.95,6.5,9.3
4,4.65,6,7,7,7,4,6.44,0,4.95,6.5,9.3
4,0,6,7,7,7,4,6.38,6.65,4.95,6.5,9.3
4,4.82,6,7,7,7,4,6.38,0,4.95,6.5,9.3
4,0,6,7,7,7,4,6.4,6.67,4.95,6.5,9.3
4,4.64,6,7,7,7,4,6.39,0,4.95,6.5,9.3
4,0,6,7,7,7,4,6.45,6.65,4.95,6.5,9.3
4,4.72,6,7,7,7,4,6.37,0,4.95,6.5,9.3
4,0,6,7,7,7,4,6.39,6.69,4.95,6.5,9.3
4,4.68,6,7,7,7,4,6.38,0,4.95,6.5,9.3
4,0,6,7,7,7,4,6.36,6.72,4.95,6.5,9.3
4,4.7,6,7,7,7,4,6.31,0,4.95,6.5,9.3
4,0,6,7,7,7,4,6.3,6.82,4.95,6.5,9.3
4,4.82,6,7,7,7,4,6.33,0,4.95,6.5,9.3
4,0,6,7,7,7,4,6.37,6.91,4.95,6.5,9.3
4,4.69,6,7,7,7,4,6.34,0,4.95,6.5,9.3
4,0,6,7,7,7,4,6.34,6.95,4.95,6.5,9.3
4,4.68,6,7,7,7,4,6.42,0,4.95,6.5,9.3
4,0,6,7,7,7,4,6.44,6.95,4.95,6.5,9.3
4,4.78,6,7,7,7,4,6.51,0,4.95,6.5,9.3
4,0,6,7,7,7,4,6.39,6.93,4.95,6.5,9.3
4,4.81,6,7,7,7,4,6.49,0,4.95,6.5,9.3
4,0,6,7,7,7,4,6.49,6.91,4.95,6.5,9.3
4,4.66,6,7,7,7,4,6.45,0,4.95,6.5,9.3
4,0,6,7,7,7,4,6.46,6.93,4.95,6.5,9.3
4,5.5,5.75,7.75,7.75,7,4,7.35,0,4.95,6.75,9.3
4,0,5.75,7.75,7.75,7,4,6.91,7.17,4.95,6.75,9.3
4,4.75,5.75,7.75,7.75,7,4,6.88,0,4.95,6.75,9.3
4,0,5.75,7.75,7.75,7,4,6.77,7.23,4.95,6.75,9.3
4,4.77,5.75,7.75,7.75,7,4,6.77,0,4.95,6.75,9.3
4,0,5.75,7.75,7.75,7,4,6.73,0,4.95,6.75,9.3
4,4.76,5.75,7.75,7.75,7,4,6.79,0,4.95,6.75,9.3
4,0,5.75,7.75,7.75,7,4,6.83,7.27,4.95,6.75,9.3
4,4.77,5.75,7.75,7.75,7,4,6.67,0,4.95,6.75,9.3
4,0,5.75,7.75,7.75,7,4,6.89,7.23,4.95,6.75,9.3
4,4.77,5.75,7.75,7.75,7,4,6.81,0,4.95,6.75,9.3
4,0,5.75,7.75,7.75,7,4,6.82,7.23,4.95,6.75,9.3
4,4.7,5.75,7.75,7.75,7,4,6.79,0,4.95,6.75,9.3
4,0,5.75,7.75,7.75,7,4,6.78,7.25,4.95,6.75,9.3
4,5.14,5.75,7.75,7.75,7,4,6.76,0,4.91,6.75,9.3
4,0,5.75,7.75,7.75,7,4,6.74,7.25,4.91,6.75,9.3
4,4.77,5.75,7.75,7.75,7,4,6.66,0,4.91,6.75,9.3
4,0,5.75,7.75,7.75,7,4,6.71,7.23,4.91,6.75,9.3
4,4.96,5.75,7.75,7.75,7,4,6.81,0,4.91,6.75,9.3
4,0,5.75,7.75,7.75,7,4,6.76,7.21,4.91,6.75,9.3
4,4.79,5.75,7.75,7.75,7,4,6.91,0,4.91,6.75,9.3
4,0,5.75,7.75,7.75,7,4,6.58,7.19,4.91,6.75,9.3
4,4.8,5.75,7.75,7.75,7,4,6.77,0,4.91,6.75,9.3
4,0,5.75,7.75,7.75,7,4,6.78,7.17,4.91,6.75,9.3
4,4.81,5.75,7.75,7.75,7,4,6.72,0,4.91,6.75,9.3
4,0,5.75,7.75,7.75,7,4,6.62,7.1,4.91,6.75,9.3
4,4.82,5.75,7.75,7.75,7.25,4,6.97,0,4.91,6.75,9.6
4,0,6.25,8.25,8.25,7.25,4,7.05,7.47,4.91,7.25,9.7
4,4.9,6.25,8.25,8.25,7.25,4,7.28,0,4.91,7.25,9.7
4,0,6.25,8.25,8.25,7.25,4,7.17,7.49,4.91,7.25,9.7
4,4.72,6.25,8.25,8.25,7.25,4,7.07,0,4.91,7.25,9.7
4,0,6.25,8.25,8.25,7.25,4,7.03,7.49,4.91,7.25,9.7
4,4.75,6.25,8.25,8.25,7.25,4,7.11,0,4.91,7.25,9.7
4,0,6.25,8.25,8.25,7.5,4,7.09,7.51,4.91,7.25,9.7
4,4.73,6.25,8.25,8.25,7.75,4,7.05,0,4.91,7.25,9.7
4,0,6.25,8.25,8.25,7.75,4,7.06,7.53,4.91,7.25,9.7
4,4.79,6.25,8.25,8.25,8,4,7.03,0,4.91,7.25,9.7
4,0,6.25,8.25,8.25,8,4,7.05,7.6,4.91,7.25,9.7
4,4.7,6.25,8.25,8.25,8,4,7.02,0,4.91,7.25,9.7
4,0,6.25,8.25,8.25,8,4,7.04,7.66,4.91,7.25,9.7
4,4.81,6.25,8.25,8.25,8,4,7.08,0,4.91,7.25,9.7
4,0,6.25,8.25,8.25,8,4,7.02,7.75,4.91,7.25,9.7
4,4.77,6.25,8.25,8.25,8,4,7.17,0,4.91,7.25,9.7
4,0,6.25,8.25,8.25,8,4,7.19,7.75,4.91,7.25,9.75
4,4.88,6.5,8.5,8.5,8,4,7.52,0,4.91,7.5,9.75
4,0,6.5,8.5,8.5,8,4,7.56,7.9,4.91,7.5,9.75
4,4.76,6.5,8.5,8.5,8,4,7.38,0,4.91,7.5,9.75
4,0,6.5,8.5,8.5,8,4,7.39,7.97,4.91,7.5,9.75
4,5.15,6.5,8.5,8.5,8,4,7.53,0,4.91,7.5,9.75
4,0,6.5,8.5,8.5,8,4,7.51,7.9,4.91,7.5,9.75
4,4.75,6.5,8.5,8.5,8,4,7.39,0,4.91,7.5,9.75
4,0,6.5,8.5,8.5,8,4,7.36,7.88,4.91,7.5,9.75
4,4.72,6.5,8.5,8.5,8,4,9.23,0,4.91,7.5,10
4,0,6.5,8.5,8.5,8,4,7.36,8.14,4.91,7.5,10
4,4.97,6.5,8.5,8.5,8,4,7.48,0,4.91,7.5,10
4,0,6.5,8.5,8.5,8,4,7.37,8.16,4.91,7.5,10
4,4.87,6.5,8.5,8.5,8,4,7.35,0,4.91,7.5,10
4,0,6.75,8.75,8.75,8,4,7.65,8.33,4.91,7.75,10
4,4.68,6.75,8.75,8.75,8,4,7.68,0,4.91,7.75,10
4,0,6.75,8.75,8.75,8,4,7.78,8.25,4.91,7.75,10
4,4.9,6.75,8.75,8.75,8,4,7.64,0,4.91,7.75,10
4,0,6.75,8.75,8.75,8,4,7.79,8.14,4.91,7.75,10
4,4.77,6.75,8.75,8.75,8,4,7.85,0,4.91,7.75,10
4,0,6.75,8.75,8.75,8,4,7.94,8.25,4.91,7.75,10
4,4.66,7,9,9,8,4,8.03,0,4.91,8,10
4,0,7,9,9,8,4,8.22,8.36,4.91,8,10
4,4.82,7,9,9,8,4,8.1,0,6.67,8,10
4,0,7,9,9,8,4,8.33,8.38,6.67,8,10
